time,mag,place,lon,lat,depth,time_days
1999-07-11 10:12:23.800000+00:00,3.2,EGYPT,34.618,28.0923,8.0,501.04512037037034
1999-06-28 05:53:03+00:00,3.4,RED SEA,34.4662,27.5832,10.0,487.8650185185185
1999-06-27 10:44:53.400000+00:00,3.0,EGYPT,34.836,29.3587,10.0,487.0676851851852
1999-06-19 08:41:22.300000+00:00,3.0,DEAD SEA REGION,34.916,31.46,15.0,478.9819085648148
1999-06-18 17:16:09.800000+00:00,3.8,EGYPT,34.6767,28.2068,20.0,478.33940277777776
1999-06-18 10:57:49.700000+00:00,3.0,EGYPT,34.6586,28.1848,20.0,478.07667013888886
1999-06-18 03:02:19.400000+00:00,3.6,EGYPT,34.6343,28.0814,30.0,477.74645833333335
1999-06-18 01:23:07.400000+00:00,3.3,EGYPT,34.6972,28.1847,20.0,477.67756944444443
1999-06-17 15:49:31+00:00,3.6,EGYPT,34.7152,28.1895,2.0,477.2792314814815
1999-06-17 14:53:10+00:00,3.2,RED SEA,34.8342,27.9582,2.0,477.24009953703705
1999-06-17 14:43:32.500000+00:00,3.3,EGYPT,34.6593,28.2352,2.0,477.23341550925926
1999-06-17 14:23:04.500000+00:00,4.3,EGYPT,34.6719,28.1291,10.0,477.2192025462963
1999-06-17 14:20:26.200000+00:00,4.1,EGYPT,34.7244,28.2745,15.0,477.21737037037036
1999-06-17 14:04:52.500000+00:00,3.0,EGYPT,34.6442,28.3674,2.0,477.2065636574074
1999-08-07 20:19:44.400000+00:00,3.6,EGYPT,34.7851,28.9505,20.0,528.4668865740741
1999-07-31 14:34:50.800000+00:00,3.4,RED SEA,34.5375,27.9151,20.0,521.2273773148148
1999-07-17 01:46:48.900000+00:00,3.2,EGYPT,34.4,29.9,19.0,506.69402199074074
1999-09-04 23:20:32.900000+00:00,3.2,EGYPT,29.3678,31.6912,10.0,556.5924479166666
1999-09-03 19:22:28.700000+00:00,3.2,EGYPT,34.6975,28.6377,10.0,555.4271215277778
1999-09-03 11:39:49.700000+00:00,3.1,EGYPT,34.8054,29.1395,15.0,555.1058368055556
1999-09-02 20:31:31.600000+00:00,3.1,EGYPT,34.698,28.5664,2.0,554.4750717592593
1999-08-29 05:15:07.100000+00:00,3.9,EGYPT,33.308,28.6915,2.0,549.8386770833333
1999-08-27 23:53:49.400000+00:00,3.1,RED SEA,34.16,27.93,9.6,548.6155555555556
1999-10-11 20:39:35.500000+00:00,4.7,EGYPT,31.5236,28.7507,21.3,593.4806724537037
1999-10-05 05:51:52.700000+00:00,4.4,EGYPT,34.7139,28.9245,10.0,586.864204861111
1999-10-05 05:44:34.300000+00:00,4.6,EGYPT,34.8114,28.8696,2.0,586.859130787037
1999-10-05 05:00:46.700000+00:00,3.7,EGYPT,34.7222,28.9487,2.0,586.82871875
1999-09-26 13:02:23.900000+00:00,3.4,RED SEA,34.64,26.8,11.0,578.1631770833334
1999-11-11 15:00:00.800000+00:00,3.9,DEAD SEA REGION,35.5,31.5,0.5,624.2448541666666
1999-11-10 13:59:58.200000+00:00,3.6,DEAD SEA REGION,35.5,31.5,0.5,623.2031574074074
1999-11-08 13:00:00.300000+00:00,3.1,DEAD SEA REGION,35.4,31.5,0.5,621.1615150462962
1999-11-07 00:19:42.100000+00:00,3.0,EGYPT,34.8308,29.1365,1.3,619.6335266203704
1999-11-06 19:52:40.800000+00:00,3.0,JORDAN-SAUDI ARABIA BORDER REG,35.1224,29.4161,20.0,619.4480949074074
1999-10-30 23:37:31.800000+00:00,3.1,EGYPT,34.7658,28.7644,20.0,612.6042407407407
